time,x,y,yaw,d_x,d_y,d_yaw,x_ref,y_ref,yaw_ref,d_x_ref,d_y_ref,d_yaw_ref,xe,ye,yaw_e,vx_local,vx_local_ref,vc,wc
11263.316,6.407880954240053e-06,1.1838625040283546e-06,2.4679706257302314e-05,0.0003203940477050091,5.919312520012567e-05,-0.00026096807047348196,4.935941251460463e-05,1.2977401375735553e-09,,0.0011092002969235182,2.9162700698748267e-08,0.0005546001484617591,4.295153773201243e-05,-1.1823405843083657e-06,2.989906766688588e-05,0.00032039373875033167,0.00110920029692,0.0,0.0
11263.336,1.9223632108433808e-05,3.551538694135381e-06,3.854470924125053e-05,0.00064078755775398,0.0001183838095135342,-0.0005219263196271893,7.708941848250106e-05,2.026807610633341e-09,,0.0011092002969235182,2.9162700698748267e-08,0.0005546001484617591,5.7865841944832655e-05,-3.5486058300990838e-06,5.4202597042656356e-05,0.0006407857040350225,0.00110920029692,0.0020771509396233113,0.005672057369669508
11263.357,3.844724271034883e-05,7.102979752149352e-06,3.854470924125053e-05,0.0009611805300747705,0.00017757205289682253,-0.000782874746528115,7.708941848250106e-05,2.026807610633341e-09,,0.0011092002969235182,2.9162700698748267e-08,0.0005546001484617591,3.864239812226413e-05,-7.099742846533216e-06,6.986009197356043e-05,0.00096117496886668,0.00110920029692,0.004105602420534723,0.005712383388300295
11263.377,7.18922211169204e-05,1.0623673640797193e-05,5.264633728074841e-05,0.0016722489202920768,0.0001760346944285496,-0.00028300001871084916,0.00010529267456149682,2.7884803355249232e-09,,0.00181908393278718,7.807057755826463e-08,0.00090954196639359,3.340084613304188e-05,-1.0619650158639575e-05,8.962172038739884e-05,0.00167224241019868,0.00181908393279,0.006132763673795479,0.006116530658295671
11263.397,0.00012142517758340077,9.920981133393347e-06,5.264633728074841e-05,0.002358712212617625,-3.346154797059148e-05,0.0005562196856848988,0.00010529267456149682,2.7884803355249232e-09,,0.00181908393278718,7.807057755826463e-08,0.00090954196639359,-1.613225213834391e-05,-9.918600717833559e-06,7.794110698765983e-05,0.002358713058265193,0.00181908393279,0.003949975153908059,0.006090788886741519
11263.419,0.0001986855487408623,5.649786507411214e-06,0.00023777414753567427,0.0035118350527675226,-0.0001941452102805191,0.0013417758384883503,0.00047554829507134855,9.186430816043867e-08,,0.007935048080980778,1.980296246983926e-06,0.003967524040490389,0.0002768627228496923,-5.55909175015125e-06,0.00023354984879715018,0.0035118342326088217,0.00793504808098,0.00689205665551289,0.009449985932239925
11263.437,0.000293235630739741,-2.757195145530744e-06,0.0003369622281752527,0.005561769529402937,-0.0004945283325310773,0.003119438339577216,0.0006739244563505054,1.4137171433503681e-07,,0.007935048080980778,1.980296246983926e-06,0.003967524040490389,0.0003806889909435174,2.8767706113941934e-06,0.00027970747766446064,0.005561741206190617,0.00793504808098,0.008939198785623482,0.00953205157778051
11263.456,0.0004091144447041506,-1.4065798955575914e-05,0.0003369622281752527,0.00579394069809401,-0.0005654301904899164,0.003233681020893919,0.0006739244563505054,1.4137171433503681e-07,,0.007935048080980778,1.980296246983926e-06,0.003967524040490389,0.00026481174193512314,1.417488271105929e-05,0.00021503385724517057,0.00579387171304429,0.00793504808098,0.011291933775001282,0.009430757965662881
11263.477,0.0005458618826114647,-2.7313145211427248e-05,0.0004367418878246099,0.006837371895216462,-0.0006623673127781086,0.003761918113543504,0.0008734837756492198,1.9174052567905164e-07,,0.009709754027426243,3.2724021821195493e-06,0.004854877479374409,0.000327627309718083,2.7440289064526545e-05,0.0002395751546220154,0.0068372411655176065,0.00970975495875,0.013883526092742177,0.010385440342251272
11263.496,0.0007031538508223134,-4.1101266134435654e-05,0.0004367418878246099,0.007864598411086048,-0.0006894060461980732,0.0044036897328971775,0.0008734837756492198,1.9174052567905164e-07,,0.009709754027426243,3.2724021821195493e-06,0.004854877479374409,0.0001703416963365579,4.1244419983262435e-05,0.00015150135997015965,0.00786440144460384,0.00970975495875,0.016062045049047347,0.01025037189619012
