x y yaw vx_local omega alpha ax x_ref y_ref yaw_ref vx_ref omega_ref alpha_ref ax_ref vx_cmd om_cmd time
0.69352722168 0.84016418457 1.5761436224 0.0930512402739 0.00498465980684 0.0 -0.000178088043574 0.746218987835 0.902502345766 1.5708 0.0883883476483 0.0 0.0 0.0 0.147302370854 -0.000235265020904 1516816232.32
0.696687698364 0.843654632568 1.57715141773 0.0930585593647 0.00498465980684 0.0 -0.000178088043574 0.746218987835 0.90426566865 1.5708 0.0883883476483 0.0 0.0 0.0 0.147587953534 -0.00254800360776 1516816232.34
0.697799682617 0.844482421875 1.57726633549 0.101623993844 0.00088954418068 0.0 6.58407105189e-06 0.746218987835 0.906028991534 1.5708 0.0883883476483 0.0 0.0 0.0 0.14786382087 -0.00293996719037 1516816232.36
0.698312759399 0.845111846924 1.577039361 0.101625897423 0.00088954418068 0.0 6.58407105189e-06 0.746218987835 0.907792314418 1.5708 0.0883883476483 0.0 0.0 0.0 0.148139782996 -0.00263352932915 1516816232.38
0.694347381592 0.847646713257 1.5762976408 0.101632081538 0.00088954418068 0.0 6.58407105189e-06 0.746218987835 0.909555637302 1.5708 0.0883883476483 0.0 0.0 0.0 0.148415671224 -0.000644780426074 1516816232.4
0.696866989136 0.847393035889 1.57633006573 0.101631812363 0.00088954418068 0.0 6.58407105189e-06 0.746218987835 0.911318960186 1.5708 0.0883883476483 0.0 0.0 0.0 0.148691732675 -0.00114231408178 1516816232.42
0.698932647705 0.850681304932 1.57701122761 0.101626133006 0.00088954418068 0.0 6.58407105189e-06 0.746218987835 0.91308228307 1.5708 0.0883883476483 0.0 0.0 0.0 0.148967670549 -0.00269289797222 1516816232.44
0.699529647827 0.85327911377 1.57813632488 0.101616648967 0.00088954418068 0.0 6.58407105189e-06 0.746218987835 0.914845605954 1.5708 0.0883883476483 0.0 0.0 0.0 0.149243548909 -0.00476143740573 1516816232.46
0.69529914856 0.855838775635 1.57659244537 0.101629630291 0.00088954418068 0.0 6.58407105189e-06 0.746218987835 0.916608928838 1.5708 0.0883883476483 0.0 0.0 0.0 0.149519342599 -0.00132597563496 1516816232.48
0.701360702515 0.856399536133 1.57794773579 0.101618247658 0.00088954418068 0.0 6.58407105189e-06 0.746218987835 0.918372251722 1.5708 0.0883883476483 0.0 0.0 0.0 0.149795253745 -0.00475265475171 1516816232.5
0.696796417236 0.861642837524 1.57581984997 0.101636035524 0.00088954418068 0.0 6.58407105189e-06 0.746218987835 0.920135574606 1.5708 0.0883883476483 0.0 0.0 0.0 0.150070844223 -0.000239292784569 1516816232.52
0.694650650024 0.860647201538 1.57638728619 0.101631337087 0.00088954418068 0.0 6.58407105189e-06 0.746218987835 0.92189889749 1.5708 0.0883883476483 0.0 0.0 0.0 0.150346677049 -0.000854345220731 1516816232.55
0.696521759033 0.864377975464 1.57690823078 0.101626994794 0.00088954418068 0.0 6.58407105189e-06 0.746218987835 0.923662220374 1.5708 0.0883883476483 0.0 0.0 0.0 0.150622346688 -0.00209119463521 1516816232.56
0.69836807251 0.866693496704 1.57748055458 0.101622192439 0.00088954418068 0.0 6.58407105189e-06 0.746218987835 0.925425543258 1.5708 0.0883883476483 0.0 0.0 0.0 0.150897975057 -0.00341339595825 1516816232.58
