time,x,y,yaw,d_x,d_y,d_yaw,x_ref,y_ref,yaw_ref,d_x_ref,d_y_ref,d_yaw_ref,xe,ye,yaw_e,vx_local,vx_local_ref,vc,wc,kx,ky,kt,accuracy,cost
20987.02,8.851833359091454e-05,-1.8896698921966326e-05,0.00034886482171714306,0.0024323697408684384,-0.00027481618753276893,0.0004927717979873273,0.0006977296434342861,1.4731260478129116e-07,,0.007935048080980778,1.980296246983926e-06,0.003967524040490389,0.0006092116293578803,1.9033787621598034e-05,0.0003320826275866793,0.0024323651285073004,0.00793504808098,0.008239653458125648,0.003969219171324404,0.5,2.5,0.5,0.0,4.821422510322046e-07
20987.17,8.851833359091454e-05,-1.8896698921966326e-05,0.00034886482171714306,0.0024323697408684384,-0.00027481618753276893,0.0004927717979873273,0.0006977296434342861,1.4731260478129116e-07,,0.007935048080980778,1.980296246983926e-06,0.003967524040490389,0.0006092116293578803,1.9033787621598034e-05,0.0003320826275866793,0.0024323651285073004,0.00793504808098,0.008239653458125648,0.003969219171324404,0.5,2.5,0.5,0.0,4.821422510322046e-07
20987.319,0.006052551729507388,-1.692095567462637e-05,0.005356477573513985,0.04866269233852692,0.0007364999652169865,0.010440601207361467,0.010712889023125172,3.1403284083353356e-05,,0.06936664879322052,0.0003715420898515731,0.03468383848667145,0.004660391906791538,4.273403263023226e-05,0.004156956304896453,0.04866354077650344,0.069367647171,0.0716972437788979,0.034835428108804946,0.5,2.5,0.5,0.0,3.9003190840796134e-05
20987.469,0.006052551729507388,-1.692095567462637e-05,0.005356477573513985,0.04866269233852692,0.0007364999652169865,0.010440601207361467,0.010712889023125172,3.1403284083353356e-05,,0.06936664879322052,0.0003715420898515731,0.03468383848667145,0.004660391906791538,4.273403263023226e-05,0.004156956304896453,0.04866354077650344,0.069367647171,0.0716972437788979,0.034835428108804946,0.5,2.5,0.5,0.0,3.9003190840796134e-05
20987.62,0.03130653429344485,0.00021454757046668327,0.019510548561811447,0.13379820920610222,0.0019243761684332606,0.016691286183601224,0.03901861980557442,0.00038064943510107696,,0.1672014445066452,0.003262605983763933,0.08361662924289703,0.007712854563540864,0.00012540836296151284,0.014234235387686466,0.13380650033830843,0.167233273387,0.17107275909894856,0.08485923906755224,0.5,2.5,0.5,0.0,0.0002621330371054002
20987.77,0.03130653429344485,0.00021454757046668327,0.019510548561811447,0.13379820920610222,0.0019243761684332606,0.016691286183601224,0.03901861980557442,0.00038064943510107696,,0.1672014445066452,0.003262605983763933,0.08361662924289703,0.007712854563540864,0.00012540836296151284,0.014234235387686466,0.13380650033830843,0.167233273387,0.17107275909894856,0.08485923906755224,0.5,2.5,0.5,0.0,0.0002621330371054002
20987.919,0.08946426479487699,0.0015497249755291875,0.05575770512223244,0.26265316998389554,0.007938814396370395,0.058746538876404956,0.11145763844251633,0.0031081163324415684,,0.309375137090683,0.017267948016524315,0.15492835640907288,0.02201553053639511,0.0012056049216183327,0.03972554593048278,0.2627466867018527,0.309856683016,0.3206199850766031,0.16201526255313559,0.5,2.5,0.5,0.0,0.002065709550727903
20988.071,0.08946426479487699,0.0015497249755291875,0.05575770512223244,0.26265316998389554,0.007938814396370395,0.058746538876404956,0.11145763844251633,0.0031081163324415684,,0.309375137090683,0.017267948016524315,0.15492835640907288,0.02201553053639511,0.0012056049216183327,0.03972554593048278,0.2627466867018527,0.309856683016,0.3206199850766031,0.16201526255313559,0.5,2.5,0.5,0.0,0.002065709550727903
20988.22,0.18104627427794653,0.005351319700664159,0.10463310033082962,0.378596444730599,0.022353842766580343,0.09533790029514758,0.20887842774391174,0.010998370125889778,,0.3837492763996124,0.03843049332499504,0.19283714890480042,0.028021395119960425,0.0046172893118298555,0.0677636628152277,0.3791631372113733,0.38566878438,0.39879434178019085,0.2103461762727926,0.5,2.5,0.5,0.0,0.00541975130378309
20988.37,0.18104627427794653,0.005351319700664159,0.10463310033082962,0.378596444730599,0.022353842766580343,0.09533790029514758,0.20887842774391174,0.010998370125889778,,0.3837492763996124,0.03843049332499504,0.19283714890480042,0.028021395119960425,0.0046172893118298555,0.0677636628152277,0.3791631372113733,0.38566878438,0.39879434178019085,0.2103461762727926,0.5,2.5,0.5,0.0,0.00541975130378309
20988.52,0.29323706104615344,0.012439430435614351,0.16097785532474518,0.4099143306519571,0.028645477762528362,0.11345808154034823,0.3205510079860687,0.025956396013498306,,0.4152258336544037,0.06742562353610992,0.210335835814476,0.028124086798054625,0.011738645477468728,0.0968446092951153,0.4109074840823553,0.420664608479,0.4327555120958762,0.24301864174009663,0.5,2.5,0.5,0.0,0.010445434203039438
20988.671,0.4114995301558174,0.022538763650960747,0.21360039710998535,0.4136828653698543,0.0425177311546903,0.11482910068533905,0.4239596724510193,0.045451920479536057,,0.4114838242530823,0.08925466984510422,0.21052631735801697,0.014622495541474432,0.021597465731125174,0.11651550271994326,0.4158561651240418,0.421052634716,0.42550903811756347,0.25773460764627015,0.5,2.5,0.5,0.0,0.014722580801955798
20988.82,0.4114995301558174,0.022538763650960747,0.21360039710998535,0.4136828653698543,0.0425177311546903,0.11482910068533905,0.4239596724510193,0.045451920479536057,,0.4114838242530823,0.08925466984510422,0.21052631735801697,0.014622495541474432,0.021597465731125174,0.11651550271994326,0.4158561651240418,0.421052634716,0.42550903811756347,0.25773460764627015,0.5,2.5,0.5,0.0,0.014722580801955798
