time,x,y,yaw,d_x,d_y,d_yaw,x_ref,y_ref,yaw_ref,d_x_ref,d_y_ref,d_yaw_ref,xe,ye,yaw_e,vx_local,vx_local_ref,vc,wc,kx,ky,kt,accuracy,cost
27512.269,7.600793374307191e-06,-1.7268767000810925e-06,2.6343506760895252e-05,0.00030403173495459064,-6.9075067999223e-05,-0.00011419982579399816,5.2687013521790504e-05,1.3852282654269743e-09,,0.0011092002969235182,2.9162700698748267e-08,0.0005546001484617591,4.508621521311928e-05,1.7283906493016472e-06,2.919850240591139e-05,0.0003040319321623699,0.00110920029692,0.001131743404057252,0.0005546211347840794,0.5,2.5,0.5,0.0,3.4940554618617042e-09
27512.419,0.0018169003612671375,-5.231937651972718e-05,0.0020476477220654488,0.018851913921515546,-0.00016760167966280197,0.005277877277157929,0.0040952907875180244,4.913696102448739e-06,,0.04206414148211479,0.0001082396847778,0.021032145246863365,0.002278434689012059,5.544300623158171e-05,0.0012619839086707805,0.018851776424616523,0.0420642793179,0.043203463166509484,0.021064517886883512,0.5,2.5,0.5,0.0,7.910986095618227e-06
27512.569,0.0018169003612671375,-5.231937651972718e-05,0.0020476477220654488,0.018851913921515546,-0.00016760167966280197,0.005277877277157929,0.0040952907875180244,4.913696102448739e-06,,0.04206414148211479,0.0001082396847778,0.021032145246863365,0.002278434689012059,5.544300623158171e-05,0.0012619839086707805,0.018851776424616523,0.0420642793179,0.043203463166509484,0.021064517886883512,0.5,2.5,0.5,0.0,7.910986095618227e-06
27512.72,0.01631708859971681,7.448558763112345e-07,0.012286525219678879,0.09182498887186187,0.000892439670619121,0.01960205209909458,0.024572432041168213,0.00015095682465471327,,0.12285599112510681,0.001509549212642014,0.06143262982368469,0.00825584178720602,0.00011973034912601493,0.00859429057975263,0.09182765805523484,0.122865267098,0.1269886504927115,0.0619973699813502,0.5,2.5,0.5,0.0,0.00019378137700906662
27512.869,0.01631708859971681,7.448558763112345e-07,0.012286525219678879,0.09182498887186187,0.000892439670619121,0.01960205209909458,0.024572432041168213,0.00015095682465471327,,0.12285599112510681,0.001509549212642014,0.06143262982368469,0.00825584178720602,0.00011973034912601493,0.00859429057975263,0.09182765805523484,0.122865267098,0.1269886504927115,0.0619973699813502,0.5,2.5,0.5,0.0,0.00019378137700906662
27513.018,0.05819211169800062,0.0005567253907574621,0.0382227823138237,0.207881960258941,0.005307743294109236,0.04325406787312052,0.07642607390880585,0.0014849291183054447,,0.24332715570926666,0.00856348779052496,0.12173956632614136,0.018244196085176016,0.0006987483599660183,0.025642523216172185,0.20793228149757836,0.243477791548,0.25251984590508464,0.12528624096165714,0.5,2.5,0.5,0.0,0.001452619982592853
27513.169,0.05819211169800062,0.0005567253907574621,0.0382227823138237,0.207881960258941,0.005307743294109236,0.04325406787312052,0.07642607390880585,0.0014849291183054447,,0.24332715570926666,0.00856348779052496,0.12173956632614136,0.018244196085176016,0.0006987483599660183,0.025642523216172185,0.20793228149757836,0.243477791548,0.25251984590508464,0.12528624096165714,0.5,2.5,0.5,0.0,0.001452619982592853
27513.318,0.13655076420134954,0.0031447365045290665,0.08115844428539276,0.3501804235474834,0.014181568128143031,0.0816647941162612,0.16213281452655792,0.0066560194827616215,,0.35917380452156067,0.029214046895503998,0.18018211424350739,0.025676762043325568,0.0027339162322857313,0.050829721401706926,0.350449425327001,0.360359936953,0.3727328943138069,0.19179965331397597,0.5,2.5,0.5,0.0,0.0050814162831079295
27513.469,0.13655076420134954,0.0031447365045290665,0.08115844428539276,0.3501804235474834,0.014181568128143031,0.0816647941162612,0.16213281452655792,0.0066560194827616215,,0.35917380452156067,0.029214046895503998,0.18018211424350739,0.025676762043325568,0.0027339162322857313,0.050829721401706926,0.350449425327001,0.360359936953,0.3727328943138069,0.19179965331397597,0.5,2.5,0.5,0.0,0.0050814162831079295
27513.62,0.24124906771960458,0.008911501977498903,0.12967327237129211,0.42228883185143423,0.023815375392137687,0.09644130392100657,0.25862032175064087,0.016791608184576035,,0.40764522552490234,0.05315897986292839,0.20554834604263306,0.017770613961983057,0.006932663258790436,0.07576529612248864,0.4229585969623391,0.411096721888,0.4188026674757295,0.22823187103174186,0.5,2.5,0.5,0.0,0.010266688164123223
27513.769,0.24124906771960458,0.008911501977498903,0.12967327237129211,0.42228883185143423,0.023815375392137687,0.09644130392100657,0.25862032175064087,0.016791608184576035,,0.40764522552490234,0.05315897986292839,0.20554834604263306,0.017770613961983057,0.006932663258790436,0.07576529612248864,0.4229585969623391,0.411096721888,0.4188026674757295,0.22823187103174186,0.5,2.5,0.5,0.0,0.010266688164123223
27513.921,0.357961995174915,0.018268224458834692,0.1925477534532547,0.4136627640542882,0.03970050703318952,0.1028444133268103,0.38272035121917725,0.036960236728191376,,0.4132715165615082,0.080572709441185,0.21052633225917816,0.026206248529870125,0.016601206422513927,0.11054440665498014,0.41552462250327266,0.421052604914,0.4315857026586454,0.25122642083312435,0.5,2.5,0.5,0.0,0.022563279613333737
27514.07,0.4762251955082726,0.030987725565111424,0.2504425048828125,0.42957044727980653,0.05207123839915956,0.12710396737115368,0.49564769864082336,0.06246431916952133,,0.4084535837173462,0.10220061242580414,0.21052634716033936,0.02291643532574015,0.02903181986772949,0.13508477080216855,0.43270888756757536,0.421045482159,0.42866794108621,0.2694376435450172,0.5,2.5,0.5,0.0,0.03491797128191449
27514.219,0.4762251955082726,0.030987725565111424,0.2504425048828125,0.42957044727980653,0.05207123839915956,0.12710396737115368,0.49564769864082336,0.06246431916952133,,0.4084535837173462,0.10220061242580414,0.21052634716033936,0.02291643532574015,0.02903181986772949,0.13508477080216855,0.43270888756757536,0.421045482159,0.42866794108621,0.2694376435450172,0.5,2.5,0.5,0.0,0.03491797128191449
27514.369,0.5928188495727795,0.0482460375855539,0.3083372414112091,0.4199434176159476,0.06984749777189989,0.1384753749357447,0.6069191098213196,0.09441621601581573,,0.4011886417865753,0.1277766227722168,0.21052618324756622,0.020918582220270498,0.04350765028420354,0.1565666400543139,0.4256762863806941,0.421045362949,0.42635462101141425,0.28914925102080935,0.5,2.5,0.5,0.0,0.049681541337541484
27514.519,0.5928188495727795,0.0482460375855539,0.3083372414112091,0.4199434176159476,0.06984749777189989,0.1384753749357447,0.6069191098213196,0.09441621601581573,,0.4011886417865753,0.1277766227722168,0.21052618324756622,0.020918582220270498,0.04350765028420354,0.1565666400543139,0.4256762863806941,0.421045362949,0.42635462101141425,0.28914925102080935,0.5,2.5,0.5,0.0,0.049681541337541484
27514.669,0.7071831409862289,0.06981400242526459,0.3662319779396057,0.413617735448111,0.08583826920256787,0.15047802903528482,0.7161735892295837,0.13270072638988495,,0.3923242390155792,0.15284328162670135,0.21052618324756622,0.02074893854353256,0.06004206658614865,0.17550652589040414,0.4223900594063699,0.421045571566,0.42495203236728274,0.310486030856314,0.5,2.5,0.5,0.0,0.06721503656162778
27514.819,0.7071831409862289,0.06981400242526459,0.3662319779396057,0.413617735448111,0.08583826920256787,0.15047802903528482,0.7161735892295837,0.13270072638988495,,0.3923242390155792,0.15284328162670135,0.21052618324756622,0.02074893854353256,0.06004206658614865,0.17550652589040414,0.4223900594063699,0.421045571566,0.42495203236728274,0.310486030856314,0.5,2.5,0.5,0.0,0.06721503656162778
27514.969,0.8207106432256444,0.09546045345336762,0.41886353492736816,0.4287842483641949,0.1026870472919915,0.17107020987302946,0.8134158849716187,0.17296256124973297,,0.38554298877716064,0.16922177374362946,0.21052618324756622,0.010876963701683385,0.07708100850077386,0.18483143286417344,0.4409085585971944,0.421045601368,0.41931251622808347,0.33035278937720713,0.5,2.5,0.5,0.0,0.0819607554022131
27515.118,0.8207106432256444,0.09546045345336762,0.41886353492736816,0.4287842483641949,0.1026870472919915,0.17107020987302946,0.8134158849716187,0.17296256124973297,,0.38554298877716064,0.16922177374362946,0.21052618324756622,0.010876963701683385,0.07708100850077386,0.18483143286417344,0.4409085585971944,0.421045601368,0.41931251622808347,0.33035278937720713,0.5,2.5,0.5,0.0,0.0819607554022131
27515.268,0.933699715532754,0.12561138288482498,0.4820214509963989,0.4101677177732548,0.1201510540649682,0.17187556294731984,0.9271091818809509,0.22794479131698608,,0.37409350275993347,0.19321823120117188,0.21052618324756622,0.021951968408930343,0.10016822199745971,0.20196733076679424,0.4273984523477572,0.421045392752,0.4234631380672318,0.35819483818046055,0.5,2.5,0.5,0.0,0.1099609442945644
27515.419,0.933699715532754,0.12561138288482498,0.4820214509963989,0.4101677177732548,0.1201510540649682,0.17187556294731984,0.9271091818809509,0.22794479131698608,,0.37409350275993347,0.19321823120117188,0.21052618324756622,0.021951968408930343,0.10016822199745971,0.20196733076679424,0.4273984523477572,0.421045392752,0.4234631380672318,0.35819483818046055,0.5,2.5,0.5,0.0,0.1099609442945644
27515.569,1.0444794627765435,0.1614573126307527,0.5399162173271179,0.395905583234634,0.13601527011464296,0.18607228934523748,1.0280768871307373,0.2845821678638458,,0.361152708530426,0.21644413471221924,0.21052618324756622,0.02435060433443859,0.12180239132518768,0.21015936725142553,0.41861813964271594,0.421045541763,0.42395686544840444,0.38265543639537114,0.5,2.5,0.5,0.0,0.1350200734555722
27515.719,1.1521101771057431,0.20302872858582277,0.5978109240531921,0.38913782142394154,0.16108764203109957,0.1982366292607426,1.1256279945373535,0.3469201624393463,,0.346771240234375,0.23880727589130402,0.21052618324756622,0.029179612466853074,0.1433687586132095,0.21501891069498263,0.4211422736889129,0.421045362949,0.42593948792388375,0.4063564229161365,0.5,2.5,0.5,0.0,0.1616661778948634
27515.868,1.1521101771057431,0.20302872858582277,0.5978109240531921,0.38913782142394154,0.16108764203109957,0.1982366292607426,1.1256279945373535,0.3469201624393463,,0.346771240234375,0.23880727589130402,0.21052618324756622,0.029179612466853074,0.1433687586132095,0.21501891069498263,0.4211422736889129,0.421045362949,0.42593948792388375,0.4063564229161365,0.5,2.5,0.5,0.0,0.1616661778948634
27516.019,1.2588236646971727,0.2508224777347619,0.6504424810409546,0.3836609114321602,0.18413054641517837,0.20849616602588306,1.2110337018966675,0.40842577815055847,,0.3364119231700897,0.25319230556488037,0.21052618324756622,0.023640142324179998,0.16298412351305266,0.21198436753847605,0.4255409111477004,0.421045511961,0.4234406175816619,0.42637956035558033,0.5,2.5,0.5,0.0,0.18320768693554862
27516.169,1.2588236646971727,0.2508224777347619,0.6504424810409546,0.3836609114321602,0.18413054641517837,0.20849616602588306,1.2110337018966675,0.40842577815055847,,0.3364119231700897,0.25319230556488037,0.21052618324756622,0.023640142324179998,0.16298412351305266,0.21198436753847605,0.4255409111477004,0.421045511961,0.4234406175816619,0.42637956035558033,0.5,2.5,0.5,0.0,0.18320768693554862
27516.32,1.3641364201858486,0.3060440202927164,0.7136003971099854,0.38273868004539296,0.21401917341036827,0.2153407688974917,1.309072732925415,0.48803451657295227,,0.3197607398033142,0.2739201486110687,0.21052618324756622,0.03826617846130981,0.18624781871745122,0.21715493345475562,0.43847290613330603,0.421045333147,0.43028991026657337,0.4519307027254117,0.5,2.5,0.5,0.0,0.220382951032424
27516.469,1.3641364201858486,0.3060440202927164,0.7136003971099854,0.38273868004539296,0.21401917341036827,0.2153407688974917,1.309072732925415,0.48803451657295227,,0.3197607398033142,0.2739201486110687,0.21052618324756622,0.03826617846130981,0.18624781871745122,0.21715493345475562,0.43847290613330603,0.421045333147,0.43028991026657337,0.4519307027254117,0.5,2.5,0.5,0.0,0.220382951032424
