time,x,y,yaw,d_x,d_y,d_yaw,x_ref,y_ref,yaw_ref,d_x_ref,d_y_ref,d_yaw_ref,xe,ye,yaw_e,vx_local,vx_local_ref,vc,wc
10907.716,-2.11371232475277e-06,7.0207746758477185e-06,-4.280684057781509e-06,-0.00011124801709088779,0.000369514456619036,-0.000225299160933108,5.2687013521790504e-05,1.3852282654269743e-09,2.6343506760895252e-05,0.0011092002969235182,2.9162700698748267e-08,0.0005546001484617591,5.480075589382969e-05,-7.019154862924494e-06,3.062419081867676e-05,-0.00011124959886451208,0.00110920029692,0.0,0.0
10907.737,-8.68842686971294e-06,1.631243512334457e-05,-1.0113558479274073e-05,-0.0003287357272408329,0.00046458302236470175,-0.0002916437210682623,8.041701948968694e-05,2.1142958495090625e-09,4.020850974484347e-05,0.0011092002969235182,2.9162700698748267e-08,0.0005546001484617591,8.910561131022635e-05,-1.630941965351836e-05,5.032206822411754e-05,-0.0003287404258115858,0.00110920029692,0.0022191315603676243,0.005695884153312752
10907.756,-1.9275720331474178e-05,2.910826842938974e-05,-1.6768882856321374e-05,-0.0005293646731246524,0.0006397916653464818,-0.00033276621887536636,0.00011376411566743627,3.2355687018537083e-09,5.6882057833718136e-05,0.003412923775613308,1.941341309930067e-07,0.001706461887806654,0.0001330403240390919,-2.91028019271708e-05,7.365094069003951e-05,-0.0005293754016417132,0.00341292377561,0.004797892306837019,0.0069236429672947354
10907.777,-2.0094062873565743e-05,4.7922438719316673e-05,-1.0800916167449243e-05,-4.0917127103685156e-05,0.000940708514475813,0.00029839833443709316,0.00011376411566743627,3.2355687018537083e-09,5.6882057833718136e-05,0.003412923775613308,1.941341309930067e-07,0.001706461887806654,0.00013385869610449012,-4.791775735685498e-05,6.768297400116738e-05,-4.0927287615101125e-05,0.00341292377561,0.007308583192251982,0.006958860385291158
10907.797,4.64863049887132e-06,6.110668814962583e-05,2.0207839407353906e-06,0.0012371346685948492,0.0006592124715010687,0.0006410850053952382,0.00011376411566743627,3.2355687018537083e-09,5.6882057833718136e-05,0.003412923775613308,1.941341309930067e-07,0.001706461887806654,0.00010911536169146647,-6.110367307961933e-05,5.4861273892982745e-05,0.0012371360007182991,0.00341292377561,0.009751847005173514,0.006967066553291219
10907.817,6.852089616615764e-05,7.734559280248021e-05,2.575577459676577e-05,0.003193613283294606,0.000811945232624996,0.0011867495327756148,0.0004993533948436379,9.780519860669301e-08,0.00024967669742181897,0.007935048080980778,1.980296246983926e-06,0.003967524040490389,0.00043083050895797634,-7.725888400297564e-05,0.0002239209228250532,0.0031936341945137427,0.00793504808098,0.012364272269658463,0.009609012279496383
10907.836,0.00018289369433477365,9.347828236849764e-05,6.576196141458955e-05,0.005718639908826082,0.0008066344783566275,0.0020003093410294534,0.0006977296434342861,1.4731260478129116e-07,0.00034886482171714306,0.007935048080980778,1.980296246983926e-06,0.003967524040490389,0.0005148298103586456,-9.336482618370027e-05,0.0002831028603025535,0.005718692942325969,0.00793504808098,0.014777476317269665,0.00976866828448536
10907.857,0.00034870595557104367,0.00010548889354489166,0.00010357240254607603,0.008290613061632535,0.0006005305588065924,0.0018905220565330577,0.0009101129835471511,2.0707641112949204e-07,0.00045505649177357554,0.013651693239808083,6.212292646523565e-06,0.006825847551226616,0.0005613961206742072,-0.00010533996284366015,0.0003514840892274995,0.008290675215557493,0.0136516951025,0.017785630991316366,0.012766077111393426
10907.876,0.0005616281501629461,0.00012029120850431951,0.00015394632946868006,0.01064610972936274,0.0007401157479552375,0.002518696346075224,0.0009101129835471511,2.0707641112949204e-07,0.00045505649177357554,0.013651693239808083,6.212292646523565e-06,0.006825847551226616,0.0003484663427434615,-0.00012013777863098783,0.0003011101623048955,0.010646223541311478,0.0136516951025,0.02015382831221805,0.012715601262022407
10907.897,0.000826079172163402,0.00013693452205676415,0.0002210954215347491,0.013222551099734175,0.0008321656776040675,0.0033574546032301656,0.0009101129835471511,2.0707641112949204e-07,0.00045505649177357554,0.013651693239808083,6.212292646523565e-06,0.006825847551226616,8.400357951784482e-05,-0.00013674602179459782,0.00023396107023882645,0.013222734764573744,0.0136516951025,0.02223339207905957,0.012638665694315935
