x y yaw vx_local omega alpha ax x_ref y_ref yaw_ref vx_ref omega_ref alpha_ref ax_ref kx ky kt vx_cmd om_cmd df_fa0 df_da1 df_da2 time
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.8 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516813339.63
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.8 12.0 6.0 0.0 0.0 0.0 0.0 0.0 1516813339.64
0.00170707702637 0.00525856018066 -0.00190574326552 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.800000098867 12.0 6.0 -0.00135764214127 0.0 -9.8867460041e-08 0.0 0.0 1516813339.65
0.00170707702637 0.00525856018066 -0.00190574326552 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.80000019905 12.0 6.0 -0.00135764231128 0.0 -1.00182437362e-07 0.0 0.0 1516813339.66
0.000787734985352 0.000347137451172 -0.000181023278856 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.800000298378 12.0 6.0 -0.00135764247985 0.0 -9.93283670902e-08 0.0 0.0 1516813339.67
0.000787734985352 0.000347137451172 -0.000181023278856 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.800000306466 12.0 6.0 -0.000630137947383 0.0 -8.08758295559e-09 0.0 0.0 1516813339.68
0.000190734863281 0.00268745422363 -0.00163776078261 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.800000310617 12.0 6.0 -0.000149066619731 0.0 -4.15082517215e-09 0.0 0.0 1516813339.69
0.000190734863281 0.00268745422363 -0.00163776078261 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.800000314752 12.0 6.0 -0.000149066620502 0.0 -4.13553043975e-09 0.0 0.0 1516813339.7
0.00362586975098 0.00239181518555 -0.00161868729629 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.800000318904 12.0 6.0 -0.000149066621275 0.0 -4.15200940856e-09 0.0 0.0 1516813339.71
0.00362586975098 0.00239181518555 -0.00161868729629 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.800000511164 12.0 6.0 -0.00289759657276 0.0 -1.92259761142e-07 0.0 0.0 1516813339.72
0.00110244750977 0.00280952453613 -0.00110894837417 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.80000054702 12.0 6.0 -0.000879465573245 0.0 -3.58559271326e-08 0.0 0.0 1516813339.73
0.00110244750977 0.00280952453613 -0.00110894837417 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.800000583604 12.0 6.0 -0.000879465613463 0.0 -3.65837141053e-08 0.0 0.0 1516813339.74
