time,x,y,yaw,d_x,d_y,d_yaw,x_ref,y_ref,yaw_ref,d_x_ref,d_y_ref,d_yaw_ref,xe,ye,yaw_e,vx_local,vx_local_ref,vc,wc
11744.831,2.92650891506e-05,-0.000121963966787,1.01810874185e-05,0.000235914465394,-0.000560828619066,0.00135002923326,2.03621748369e-05,1.24151217085e-10,,0.000229074474191,2.32519403731e-09,0.000114537237096,-8.8863751619e-06,0.000121965297106,-0.000125424973751,0.000235838411465,0.000229074474191,0.0,0.00516850162697
11744.851,3.1297578398e-05,-0.000132779542995,1.30445187096e-05,0.000101624462369,-0.000540778810387,0.00144450916375,2.60890374193e-05,1.8228107912e-10,,0.000229074474191,2.32519403731e-09,0.000114537237096,-5.18669914222e-06,0.000132780580265,-0.000151451725736,0.000101535504912,0.000229074474191,0.0,0.00514362978318
11744.873,3.61222328073e-05,-0.000142628174381,1.30445187096e-05,0.000229745448072,-0.000468982446994,0.00131806796352,2.60890374193e-05,1.8228107912e-10,,0.000229074474191,2.32519403731e-09,0.000114537237096,-1.00057855026e-05,0.000142630282165,-0.000179131152968,0.000229655316813,0.000229074474191,0.0,-0.00488709258138
11744.892,4.03346083137e-05,-0.000153557332674,1.63624627021e-05,0.000210618775319,-0.000546457914596,0.00125943778301,3.27249254042e-05,2.67730226877e-10,,0.000327249261318,5.35460342732e-09,0.000163624630659,-7.57630477017e-06,0.000153559250851,-0.000201001964636,0.000210499989832,0.000327249261318,0.0,-0.00485436546382
11744.912,4.22077948967e-05,-0.000163361368133,1.63624627021e-05,9.85887675243e-05,-0.000516001866276,0.000735550192034,3.27249254042e-05,2.67730226877e-10,,0.000327249261318,5.35460342732e-09,0.000163624630659,-9.44507717772e-06,0.000163363825258,-0.000214977418285,9.84693930769e-05,0.000327249261318,0.0,-0.00485780944619
11744.935,4.67745052956e-05,-0.000174388945111,2.69798838417e-05,0.000198552626044,-0.000479459868616,-0.000661667294913,5.39597676834e-05,8.06147038013e-10,,0.000447240716312,1.2047402187e-08,0.000223620358156,7.22295160014e-06,0.000174388194295,-0.000189141649363,0.000198448999806,0.000447240716312,0.00163006040388,0.00528126632211
11744.952,5.09201249141e-05,-0.00018504415615,3.25703949784e-05,0.000243859977565,-0.000626777119937,-0.00215692007158,6.51407899568e-05,1.10733211489e-09,,0.000447240716312,1.2047402187e-08,0.000223620358156,1.42538719062e-05,0.000185042708548,-0.00014688349701,0.000243747496045,0.000447240716312,0.00345827147905,0.00539242793259
11744.972,6.15620241839e-05,-0.000197487576021,3.25703949784e-05,0.000506757108066,-0.000592543803381,-0.00168155213769,6.51407899568e-05,1.10733211489e-09,,0.000447240716312,1.2047402187e-08,0.000223620358156,3.60723201063e-06,0.000197488165454,-0.000111570902118,0.00050667169277,0.000447240716312,0.00145067875748,0.00549407367182
11744.991,8.86623012094e-05,-0.000210883733849,3.87850959669e-05,0.00142633036975,-0.00070506093832,-0.00112931637606,7.75701919338e-05,1.50428380863e-09,,0.000581776432227,2.25642526885e-08,0.000290888216114,-1.10662368873e-05,0.000210886597374,-8.38991899837e-05,0.00142624385911,0.000581776432227,0.0,0.00564988813362
11745.011,0.000122530562903,-0.000224316147419,3.87850959669e-05,0.00169341308465,-0.000671620678452,0.000211949102211,7.75701919338e-05,1.50428380863e-09,,0.000581776432227,2.25642526885e-08,0.000290888216114,-4.49318994779e-05,0.000224323356413,-8.8138172028e-05,0.00169332782672,0.000581776432227,0.0,0.0056750954791
11745.033,0.000155431510164,-0.000239286581024,5.65050359e-05,0.00156671177442,-0.000712877790754,0.00122228920087,0.0001130100718,3.40603101279e-09,,0.000738128845114,4.16675725035e-08,0.000369064422557,-4.23849242903e-05,0.000239296457413,-9.60863053117e-05,0.00156660297721,0.000738128845114,0.0,0.0057749358874
11745.051,0.000180627084008,-0.000250245367536,6.57316486468e-05,0.00132608283387,-0.00057677823748,0.00188922807745,0.000131463297294,4.44772041419e-09,,0.000738128845114,4.16675725035e-08,0.000369064422557,-4.9116617086e-05,0.00025025907753,-0.000122755026037,0.0013259740953,0.000738128845114,0.0,0.00574912921932
11745.071,0.000186960168629,-0.000262539505253,6.57316486468e-05,0.000316654231036,-0.000614706885824,0.00233011573501,0.000131463297294,4.44772041419e-09,,0.000738128845114,4.16675725035e-08,0.000369064422557,-5.54351486098e-05,0.000262556992421,-0.000169357340738,0.000316509711467,0.000738128845114,0.0,0.00568712242431
11745.092,0.000183466001832,-0.000273488013364,6.57316486468e-05,-0.000174708339832,-0.000547425405544,0.0025428373464,0.000131463297294,4.44772041419e-09,,0.000738128845114,4.16675725035e-08,0.000369064422557,-5.19244984106e-05,0.000273507319854,-0.000220214087667,-0.000174864866648,0.000738128845114,0.0,0.00561262620596
11745.112,0.00017534350629,-0.000283966059332,8.86209163582e-05,-0.000406124777106,-0.000523902298399,0.00284672382653,0.000177241832716,8.14099188062e-09,,0.00110173923895,1.12736373126e-07,0.000550869619474,1.99569544722e-06,0.000283973532732,-0.000254259296488,-0.000406304388961,0.00110173923895,0.0,0.0057523581209
11745.131,0.000167930482551,-0.000299791128813,0.000102392659755,-0.000370651186949,-0.000791253474119,0.00257183053226,0.000204785319511,1.09594013864e-08,,0.00110173923895,1.12736373126e-07,0.000550869619474,3.69730510982e-05,0.000299787532425,-0.000291924163732,-0.000370963162682,0.00110173923895,0.00129416604329,0.00571640087406
11745.152,0.00016368806897,-0.000314667682505,0.000116164395877,-0.000212120679078,-0.000743827684563,0.00194275824448,0.000232328791753,1.37778108922e-08,,0.00110173923895,1.12736373126e-07,0.000550869619474,6.87770275334e-05,0.000314651697555,-0.000317007592501,-0.000212442864484,0.00110173923895,0.00349193131655,0.00570333680692
11745.172,0.000168453525631,-0.000335675611797,0.000116164395877,0.000238272833059,-0.00105039646461,0.00230125178988,0.000232328791753,1.37778108922e-08,,0.00110173923895,1.12736373126e-07,0.000550869619474,6.40361201389e-05,0.00033565874223,-0.0003630326283,0.000237769458861,0.00110173923895,0.00573240979496,0.0056636221808
11745.191,0.000194315884889,-0.000356087899524,0.000116164395877,0.00129311796289,-0.00102061438629,0.0017818437699,0.000232328791753,1.37778108922e-08,,0.00110173923895,1.12736373126e-07,0.000550869619474,3.81962350333e-05,0.000356082059809,-0.000398669503699,0.00129259234466,0.00110173923895,0.00761430988605,0.00564308467449
11745.211,0.000245652940867,-0.000373336703158,0.000149052939378,0.00256685279907,-0.000862440181791,0.00168125995382,0.000298105878755,2.27763532479e-08,,0.0015380717814,2.58703579448e-07,0.000769035890698,5.26577023923e-05,0.000373330655067,-0.000399406159272,0.00256637939987,0.0015380717814,0.00548091844832,0.00590309750221
11745.233,0.000330305448912,-0.000387725898609,0.000168278842466,0.0038478412746,-0.000654054338654,0.00156646712459,0.000336557684932,2.92439423788e-08,,0.0015380717814,2.58703579448e-07,0.000769035890698,6.47826570593e-06,0.000387751432111,-0.000414642532926,0.00384745935863,0.0015380717814,0.00292674378821,0.00590918252611
11745.252,0.000434902475315,-0.00039403378347,0.000187504745554,0.00581094591125,-0.000350438047796,0.00169615455394,0.000375009491108,3.57115332861e-08,,0.0015380717814,2.58703579448e-07,0.000769035890698,-5.96512301699e-05,0.000394106162332,-0.000425947411808,0.00581072984089,0.0015380717814,0.000577689767839,0.00590203592067
